ip_id,label,brth_yr,act_strt_dt,no_of_dpnd_chl,cis_income,crn_bal,gnd_cd,mar_st_cd,ctf_tp_cd,ocp_cd,prov
20,0.0,1978.0,2011-01-07,0.0,36462.0,500.0,2.0,3.0,6.0,12,ปทุมธานี                                
21,0.0,1983.0,2003-09-23,0.0,47091.0,500.0,2.0,2.0,1.0,8,
22,0.0,1974.0,2013-12-03,0.0,47494.0,1016093.0,2.0,4.0,6.0,7,
23,0.0,1984.0,2010-08-17,0.0,44339.0,311823.0,1.0,2.0,6.0,3,
24,0.0,1982.0,2006-08-06,0.0,42461.0,500.0,1.0,4.0,1.0,5,
25,0.0,1984.0,2011-01-03,0.0,50038.0,500.0,1.0,1.0,1.0,12,
26,0.0,1987.0,2012-10-16,2.0,42263.0,382008.0,1.0,1.0,3.0,7,ปัตตานี                                 
27,0.0,1981.0,2011-09-22,0.0,46058.0,500.0,2.0,2.0,3.0,11,
28,0.0,1979.0,2010-07-31,1.0,47459.0,500.0,1.0,3.0,1.0,2,เชียงราย                                
29,0.0,1981.0,2011-03-31,0.0,46190.0,731969.0,1.0,1.0,3.0,6,
30,0.0,1983.0,2007-12-12,0.0,42028.0,500.0,2.0,2.0,1.0,3,สิงห์บุรี                               
31,0.0,1990.0,2007-02-01,0.0,40194.0,1247643.0,2.0,4.0,2.0,7,
32,0.0,1984.0,2010-08-05,0.0,46893.0,500.0,1.0,4.0,4.0,1,นนทบุรี                                 
33,0.0,1981.0,2011-09-17,0.0,40057.0,365640.0,2.0,2.0,2.0,9,
34,0.0,1978.0,2008-05-12,0.0,46484.0,500.0,1.0,1.0,3.0,6,นครนายก                                 
35,0.0,1985.0,2012-01-23,0.0,47048.0,808283.0,2.0,2.0,1.0,8,
36,0.0,1978.0,2011-08-22,0.0,46897.0,500.0,2.0,1.0,4.0,9,
37,0.0,1980.0,2016-04-03,0.0,43541.0,500.0,2.0,2.0,5.0,9,
38,0.0,1982.0,2011-12-02,0.0,41488.0,500.0,1.0,1.0,4.0,4,ตรัง                                    
39,0.0,1983.0,2007-03-01,2.0,51293.0,786539.0,2.0,1.0,2.0,11,
40,0.0,1984.0,2010-07-30,0.0,44021.0,376487.0,1.0,3.0,1.0,4,
41,0.0,1978.0,2011-06-06,0.0,44690.0,500.0,1.0,3.0,6.0,1,กำแพงเพชร                               
42,0.0,1983.0,2009-09-19,1.0,43978.0,500.0,1.0,1.0,1.0,8,
43,0.0,1983.0,2005-09-06,0.0,41801.0,48533.0,2.0,4.0,6.0,9,
44,0.0,1982.0,2011-10-10,1.0,40475.0,500.0,1.0,4.0,6.0,8,ขอนแก่น                                 
45,0.0,1987.0,2006-05-29,0.0,40843.0,500.0,1.0,1.0,5.0,12,
46,0.0,1978.0,2006-09-28,0.0,51922.0,500.0,2.0,2.0,5.0,2,อุตรดิตถ์                               
47,0.0,1982.0,2010-07-30,0.0,41720.0,1409864.0,1.0,3.0,3.0,2,
48,0.0,1972.0,2010-08-14,1.0,40791.0,500.0,1.0,1.0,4.0,8,ระยอง                                   
49,0.0,1983.0,2013-04-22,0.0,44908.0,500.0,1.0,1.0,6.0,5,ปราจีนบุรี                              
50,0.0,1979.0,2010-12-28,2.0,44238.0,158388.0,1.0,1.0,1.0,3,ปทุมธานี                                
50,0.0,1979.0,2010-12-28,2.0,44238.0,158388.0,1.0,1.0,1.0,3,ลำพูน                                   
51,0.0,1989.0,2008-01-29,0.0,44408.0,135484.0,1.0,2.0,4.0,6,
52,0.0,1977.0,2014-03-07,0.0,41261.0,500.0,1.0,1.0,4.0,3,ปทุมธานี                                
53,0.0,1983.0,2014-03-17,0.0,38783.0,35482.0,1.0,4.0,5.0,1,
54,0.0,1983.0,2011-04-21,0.0,42495.0,599543.0,2.0,4.0,1.0,8,
55,0.0,1986.0,2010-12-22,0.0,42218.0,500.0,1.0,3.0,1.0,3,ระนอง                                   
56,0.0,1982.0,2012-04-06,0.0,42813.0,500.0,1.0,3.0,5.0,6,
57,0.0,1979.0,2004-03-14,0.0,42792.0,500.0,2.0,4.0,6.0,9,
58,0.0,1977.0,2012-11-16,1.0,36157.0,15151.0,2.0,1.0,2.0,7,
59,0.0,1979.0,2011-07-10,0.0,46609.0,500.0,1.0,4.0,1.0,1,ปราจีนบุรี                              
60,0.0,1981.0,2011-06-15,1.0,47255.0,160357.0,2.0,4.0,3.0,2,
61,0.0,1982.0,2010-11-07,1.0,49586.0,582765.0,2.0,4.0,2.0,8,ตรัง                                    
62,0.0,1979.0,2006-10-12,0.0,35749.0,500.0,1.0,4.0,4.0,7,
63,0.0,1977.0,2003-12-27,0.0,38260.0,70446.0,1.0,3.0,6.0,8,กำแพงเพชร                               
63,0.0,1977.0,2003-12-27,0.0,38260.0,70446.0,1.0,3.0,6.0,8,นนทบุรี                                 
64,0.0,1974.0,2008-12-27,1.0,43105.0,378126.0,1.0,3.0,6.0,3,
65,0.0,1978.0,2008-11-23,0.0,46152.0,306623.0,1.0,4.0,2.0,5,
66,0.0,1979.0,2010-08-13,0.0,46355.0,447969.0,1.0,2.0,2.0,9,ปราจีนบุรี                              
67,0.0,1982.0,2011-08-01,0.0,42679.0,500.0,2.0,3.0,2.0,11,ตรัง                                    
67,0.0,1982.0,2011-08-01,0.0,42679.0,500.0,2.0,3.0,2.0,11,แม่ฮ่องสอน                              
68,0.0,1975.0,2013-11-10,0.0,44211.0,459755.0,2.0,3.0,1.0,5,
69,0.0,1978.0,2007-09-13,0.0,46547.0,500.0,1.0,2.0,5.0,8,
70,0.0,1978.0,2011-10-27,0.0,45105.0,500.0,2.0,3.0,4.0,5,
71,0.0,1984.0,2011-07-14,0.0,50552.0,500.0,2.0,1.0,1.0,3,
72,0.0,1976.0,2007-10-10,0.0,39256.0,666810.0,1.0,1.0,5.0,9,อุดรธานี                                
73,0.0,1979.0,2003-10-30,0.0,40848.0,893071.0,2.0,4.0,4.0,1,เชียงราย                                
74,0.0,1987.0,2011-04-06,0.0,46711.0,224659.0,2.0,3.0,3.0,12,
75,0.0,1973.0,2012-04-16,0.0,42993.0,28342.0,2.0,4.0,5.0,8,
76,0.0,1980.0,2006-04-11,0.0,50174.0,500.0,1.0,4.0,5.0,12,
77,0.0,1975.0,2012-05-08,0.0,34418.0,500.0,1.0,1.0,6.0,12,
78,0.0,1972.0,2013-06-14,0.0,45481.0,500.0,1.0,3.0,5.0,6,
79,0.0,1978.0,2007-05-13,0.0,44832.0,9955.0,2.0,3.0,3.0,6,นนทบุรี                                 
80,0.0,1975.0,2007-04-18,0.0,43517.0,355986.0,1.0,1.0,6.0,5,
81,0.0,1969.0,2010-01-15,0.0,47883.0,461800.0,1.0,1.0,3.0,6,
82,0.0,1978.0,2011-12-30,1.0,40394.0,500.0,1.0,4.0,6.0,5,
83,0.0,1975.0,2014-01-03,0.0,33654.0,30128.0,2.0,1.0,5.0,1,
84,0.0,1973.0,2015-05-08,0.0,38145.0,500.0,2.0,2.0,6.0,6,หนองบัวลำภู                             
85,0.0,1982.0,2013-02-11,1.0,35236.0,12616.0,1.0,3.0,3.0,5,
86,0.0,1975.0,2008-07-27,0.0,50807.0,500.0,1.0,3.0,3.0,12,
87,0.0,1982.0,2012-08-30,0.0,42652.0,476884.0,2.0,3.0,5.0,1,
88,0.0,1976.0,2011-10-12,0.0,41593.0,306183.0,1.0,3.0,6.0,3,
89,0.0,1989.0,2012-01-24,0.0,39177.0,500.0,2.0,4.0,5.0,7,นราธิวาส                                
89,0.0,1989.0,2012-01-24,0.0,39177.0,500.0,2.0,4.0,5.0,7,พังงา                                   
90,0.0,1982.0,2006-11-07,1.0,41801.0,94194.0,2.0,1.0,3.0,12,กระบี่                                  
90,0.0,1982.0,2006-11-07,1.0,41801.0,94194.0,2.0,1.0,3.0,12,ภูเก็ต                                  
90,0.0,1982.0,2006-11-07,1.0,41801.0,94194.0,2.0,1.0,3.0,12,ลำพูน                                   
91,0.0,1984.0,2008-11-03,1.0,46885.0,500.0,2.0,1.0,4.0,12,ภูเก็ต                                  
92,0.0,1977.0,2016-08-08,0.0,42777.0,500.0,2.0,2.0,3.0,9,ตรัง                                    
92,0.0,1977.0,2016-08-08,0.0,42777.0,500.0,2.0,2.0,3.0,9,แม่ฮ่องสอน                              
93,0.0,1982.0,2007-09-19,0.0,49880.0,142373.0,2.0,4.0,6.0,1,อ่างทอง                                 
94,0.0,1982.0,2013-10-12,0.0,41116.0,500.0,1.0,2.0,5.0,3,
95,0.0,1980.0,2005-03-20,1.0,40459.0,72541.0,1.0,4.0,4.0,4,
96,0.0,1985.0,2011-03-09,1.0,44173.0,500.0,2.0,3.0,5.0,12,บุรีรัมย์                               
97,0.0,1977.0,2011-08-02,0.0,37070.0,500.0,2.0,1.0,1.0,12,
98,0.0,1974.0,2012-04-04,0.0,42454.0,500.0,2.0,2.0,6.0,11,ตาก                                     
99,0.0,1977.0,2015-10-01,0.0,41089.0,500.0,2.0,2.0,1.0,8,
100,0.0,1984.0,2012-08-31,1.0,40584.0,809307.0,1.0,1.0,1.0,12,นครนายก                                 
101,0.0,1980.0,2007-10-10,0.0,41232.0,755230.0,1.0,4.0,3.0,5,
102,0.0,1982.0,2014-01-18,0.0,42895.0,500.0,1.0,4.0,2.0,12,ปราจีนบุรี                              
102,0.0,1982.0,2014-01-18,0.0,42895.0,500.0,1.0,4.0,2.0,12,สระแก้ว                                 
103,0.0,1976.0,2012-10-06,0.0,45756.0,500.0,1.0,2.0,3.0,3,หนองบัวลำภู                             
104,0.0,1982.0,2010-08-29,0.0,40633.0,358329.0,1.0,1.0,5.0,5,พิษณุโลก                                
104,0.0,1982.0,2010-08-29,0.0,40633.0,358329.0,1.0,1.0,5.0,5,อุตรดิตถ์                               
105,0.0,1991.0,2009-11-03,0.0,40358.0,500.0,1.0,4.0,2.0,12,
106,0.0,1983.0,2011-09-25,0.0,42840.0,500.0,1.0,2.0,1.0,4,
107,0.0,1982.0,2008-09-18,0.0,44032.0,500.0,2.0,1.0,2.0,5,
108,0.0,1981.0,2017-05-26,0.0,46777.0,500.0,2.0,2.0,5.0,5,
109,0.0,1982.0,2007-11-01,2.0,41464.0,326297.0,1.0,1.0,2.0,12,ปัตตานี                                 
110,0.0,1974.0,2005-06-07,0.0,39724.0,683140.0,2.0,1.0,1.0,2,พิษณุโลก                                
110,0.0,1974.0,2005-06-07,0.0,39724.0,683140.0,2.0,1.0,1.0,2,อุดรธานี                                
111,0.0,1980.0,2006-10-13,0.0,42037.0,485271.0,2.0,3.0,4.0,7,ยโสธร                                   
112,0.0,1967.0,2013-05-13,3.0,39463.0,321737.0,2.0,3.0,5.0,3,
113,0.0,1984.0,2012-12-22,0.0,36746.0,979115.0,2.0,3.0,2.0,11,ตรัง                                    
114,0.0,1976.0,2012-08-02,0.0,43899.0,500.0,1.0,2.0,5.0,3,
115,0.0,1982.0,2011-01-06,0.0,37775.0,500.0,2.0,4.0,5.0,1,นนทบุรี                                 
115,0.0,1982.0,2011-01-06,0.0,37775.0,500.0,2.0,4.0,5.0,1,นราธิวาส                                
116,0.0,1985.0,2012-05-28,0.0,43727.0,630935.0,2.0,3.0,2.0,3,นครนายก                                 
117,0.0,1982.0,2005-08-21,0.0,37121.0,648288.0,1.0,4.0,5.0,8,
118,0.0,1971.0,2009-01-08,1.0,42629.0,500.0,1.0,2.0,6.0,5,อุดรธานี                                
119,0.0,1979.0,2010-12-05,0.0,50213.0,1437350.0,1.0,1.0,2.0,5,ชลบุรี                                  
119,0.0,1979.0,2010-12-05,0.0,50213.0,1437350.0,1.0,1.0,2.0,5,สุราษฎร์ธานี                            
120,0.0,1987.0,2015-07-10,0.0,45978.0,761040.0,1.0,4.0,4.0,7,
121,0.0,1979.0,2013-04-11,0.0,46724.0,132828.0,2.0,4.0,3.0,12,ตรัง                                    
122,0.0,1972.0,2007-11-22,0.0,40174.0,500.0,2.0,1.0,6.0,11,
123,0.0,1979.0,2016-11-01,0.0,42411.0,500.0,1.0,2.0,1.0,12,
124,0.0,1982.0,2009-11-10,0.0,45608.0,883784.0,1.0,2.0,3.0,12,อุตรดิตถ์                               
125,0.0,1987.0,2008-10-15,1.0,40394.0,500.0,1.0,4.0,3.0,2,ปทุมธานี                                
126,0.0,1978.0,2009-05-17,0.0,49821.0,500.0,2.0,3.0,3.0,2,ปทุมธานี                                
127,0.0,1974.0,2004-01-04,0.0,48379.0,500.0,2.0,1.0,5.0,6,ปัตตานี                                 
128,0.0,1977.0,2011-07-20,0.0,40742.0,635181.0,1.0,2.0,4.0,6,ลำพูน                                   
129,0.0,1978.0,2013-04-21,0.0,43483.0,4651.0,1.0,4.0,1.0,8,พะเยา                                   
130,0.0,1977.0,2008-01-21,0.0,39321.0,487593.0,1.0,2.0,3.0,9,สิงห์บุรี                               
131,0.0,1976.0,2012-03-31,0.0,47520.0,500.0,1.0,3.0,5.0,4,
132,0.0,1996.0,2011-12-27,0.0,49832.0,500.0,2.0,2.0,2.0,9,
133,0.0,1980.0,2015-10-27,0.0,44530.0,123873.0,2.0,1.0,1.0,6,
134,0.0,1984.0,2011-09-10,1.0,46734.0,500.0,2.0,2.0,6.0,8,
135,0.0,1976.0,2011-08-15,0.0,38263.0,500.0,1.0,4.0,2.0,12,ลำพูน                                   
136,0.0,1985.0,2006-10-16,0.0,51806.0,500.0,1.0,1.0,4.0,1,
137,0.0,1985.0,2014-10-01,2.0,43900.0,457367.0,1.0,2.0,1.0,12,ระนอง                                   
138,0.0,1977.0,2009-02-14,2.0,39684.0,500.0,2.0,2.0,3.0,12,หนองบัวลำภู                             
139,0.0,1979.0,2013-07-07,0.0,38222.0,567665.0,2.0,1.0,5.0,7,ลำปาง                                   
140,0.0,1974.0,2011-08-03,0.0,45712.0,500.0,1.0,1.0,2.0,4,ตราด                                    
141,0.0,1978.0,2009-06-09,0.0,46979.0,261348.0,1.0,2.0,3.0,2,
142,0.0,1983.0,2008-08-05,1.0,35695.0,500.0,2.0,2.0,3.0,2,ตราด                                    
143,0.0,1985.0,2010-09-03,1.0,38885.0,822005.0,1.0,2.0,2.0,9,
144,0.0,1980.0,2008-08-14,0.0,37655.0,500.0,2.0,2.0,1.0,3,
145,0.0,1983.0,2008-01-30,0.0,40494.0,899852.0,1.0,3.0,4.0,1,เพชรบูรณ์                               
146,0.0,1989.0,2010-04-11,1.0,41619.0,136973.0,2.0,4.0,1.0,12,กระบี่                                  
146,0.0,1989.0,2010-04-11,1.0,41619.0,136973.0,2.0,4.0,1.0,12,ลำปาง                                   
147,0.0,1973.0,2012-09-09,0.0,43482.0,500.0,2.0,3.0,2.0,11,
148,0.0,1983.0,2014-06-04,1.0,34500.0,500.0,1.0,3.0,3.0,7,ตราด                                    
149,0.0,1978.0,2012-01-25,2.0,43474.0,500.0,2.0,2.0,3.0,12,ปราจีนบุรี                              
150,0.0,1973.0,2010-09-07,0.0,49555.0,440769.0,1.0,4.0,4.0,3,มุกดาหาร                                
151,0.0,1980.0,2008-03-22,0.0,39186.0,1280600.0,1.0,4.0,4.0,12,
152,0.0,1984.0,2005-04-23,0.0,40390.0,999092.0,2.0,4.0,5.0,9,
153,0.0,1977.0,2012-03-07,0.0,39234.0,500.0,1.0,3.0,2.0,4,ขอนแก่น                                 
154,0.0,1980.0,2012-10-12,2.0,41832.0,500.0,1.0,3.0,1.0,5,
155,0.0,1976.0,2011-07-18,0.0,37322.0,149485.0,2.0,1.0,4.0,5,กาฬสินธุ์                               
155,0.0,1976.0,2011-07-18,0.0,37322.0,149485.0,2.0,1.0,4.0,5,อุดรธานี                                
155,0.0,1976.0,2011-07-18,0.0,37322.0,149485.0,2.0,1.0,4.0,5,อ่างทอง                                 
156,0.0,1985.0,2007-06-24,0.0,37239.0,88904.0,1.0,1.0,5.0,1,สิงห์บุรี                               
157,0.0,1979.0,2011-06-02,1.0,49995.0,500.0,1.0,3.0,5.0,2,กาฬสินธุ์                               
157,0.0,1979.0,2011-06-02,1.0,49995.0,500.0,1.0,3.0,5.0,2,นนทบุรี                                 
157,0.0,1979.0,2011-06-02,1.0,49995.0,500.0,1.0,3.0,5.0,2,บึงกาฬ                                  
157,0.0,1979.0,2011-06-02,1.0,49995.0,500.0,1.0,3.0,5.0,2,อุดรธานี                                
158,0.0,1981.0,2013-01-29,2.0,46753.0,500.0,2.0,2.0,3.0,7,
159,0.0,1986.0,2009-04-07,0.0,40804.0,500.0,1.0,2.0,1.0,4,
160,0.0,1973.0,2012-08-25,1.0,41038.0,500.0,2.0,4.0,5.0,11,
161,0.0,1973.0,2009-06-30,0.0,45977.0,500.0,1.0,1.0,4.0,7,
162,0.0,1975.0,2007-11-01,0.0,42622.0,1254046.0,1.0,2.0,2.0,7,
163,0.0,1976.0,2006-04-02,0.0,37746.0,500.0,2.0,2.0,6.0,5,นครนายก                                 
164,0.0,1977.0,2011-03-17,0.0,39536.0,526945.0,2.0,2.0,4.0,11,ราชบุรี                                 
165,0.0,1983.0,2013-04-26,0.0,39726.0,500.0,1.0,4.0,4.0,5,บึงกาฬ                                  
166,0.0,1978.0,2010-11-19,0.0,46405.0,297898.0,2.0,4.0,5.0,2,พังงา                                   
167,0.0,1977.0,2013-06-02,0.0,42166.0,153317.0,1.0,4.0,5.0,7,
168,0.0,1984.0,2011-07-16,0.0,41155.0,1393193.0,2.0,2.0,2.0,1,นนทบุรี                                 
168,0.0,1984.0,2011-07-16,0.0,41155.0,1393193.0,2.0,2.0,2.0,1,หนองบัวลำภู                             
169,0.0,1980.0,2011-06-13,0.0,42709.0,446129.0,1.0,2.0,2.0,1,
170,0.0,1977.0,2015-07-26,3.0,33045.0,500.0,2.0,1.0,5.0,12,ขอนแก่น                                 
170,0.0,1977.0,2015-07-26,3.0,33045.0,500.0,2.0,1.0,5.0,12,สุรินทร์                                
171,0.0,1965.0,2009-07-05,0.0,45674.0,942922.0,2.0,4.0,2.0,2,
172,0.0,1983.0,2009-08-10,1.0,37041.0,211603.0,2.0,3.0,4.0,1,กาฬสินธุ์                               
172,0.0,1983.0,2009-08-10,1.0,37041.0,211603.0,2.0,3.0,4.0,1,กำแพงเพชร                               
173,0.0,1986.0,2013-01-11,1.0,36922.0,500.0,1.0,4.0,6.0,6,ปทุมธานี                                
174,0.0,1976.0,2010-04-14,0.0,43318.0,500.0,1.0,2.0,5.0,8,บึงกาฬ                                  
174,0.0,1976.0,2010-04-14,0.0,43318.0,500.0,1.0,2.0,5.0,8,พิษณุโลก                                
175,0.0,1977.0,2014-06-23,1.0,42190.0,500.0,2.0,1.0,5.0,3,
176,0.0,1983.0,2006-12-19,0.0,46462.0,500.0,1.0,1.0,2.0,11,กาฬสินธุ์                               
177,0.0,1984.0,2016-03-12,1.0,42829.0,1127664.0,2.0,4.0,5.0,2,
178,0.0,1980.0,2005-10-04,0.0,42221.0,181559.0,1.0,1.0,6.0,12,
179,0.0,1980.0,2010-04-03,0.0,41684.0,1255649.0,2.0,2.0,1.0,12,
180,0.0,1977.0,2009-02-26,0.0,43107.0,428258.0,1.0,2.0,2.0,8,
181,0.0,1988.0,2011-01-17,1.0,41250.0,500.0,1.0,3.0,4.0,7,
182,0.0,1974.0,2016-05-01,0.0,41663.0,614315.0,2.0,2.0,6.0,2,ปทุมธานี                                
183,0.0,1977.0,2009-02-09,2.0,40041.0,452219.0,2.0,1.0,5.0,1,
184,0.0,1977.0,2008-07-15,0.0,36754.0,500.0,2.0,3.0,1.0,12,
185,0.0,1979.0,2011-08-03,0.0,44102.0,500.0,2.0,4.0,2.0,5,
186,0.0,1983.0,2015-05-21,0.0,35275.0,1060742.0,2.0,1.0,3.0,2,
187,0.0,1984.0,2008-12-29,0.0,41689.0,500.0,1.0,2.0,6.0,4,
188,0.0,1978.0,2008-11-19,0.0,40237.0,500.0,1.0,3.0,1.0,6,
189,0.0,1982.0,2009-04-11,0.0,45744.0,500.0,2.0,2.0,1.0,3,ขอนแก่น                                 
190,0.0,1982.0,2010-11-14,0.0,46769.0,500.0,2.0,4.0,6.0,1,บุรีรัมย์                               
190,0.0,1982.0,2010-11-14,0.0,46769.0,500.0,2.0,4.0,6.0,1,ระยอง                                   
191,0.0,1973.0,2010-03-28,1.0,42613.0,500.0,1.0,4.0,2.0,2,
192,0.0,1975.0,2012-09-23,0.0,48191.0,500.0,2.0,3.0,3.0,12,ตรัง                                    
192,0.0,1975.0,2012-09-23,0.0,48191.0,500.0,2.0,3.0,3.0,12,ปทุมธานี                                
193,0.0,1977.0,2013-01-23,0.0,45315.0,500.0,1.0,1.0,4.0,1,
194,0.0,1974.0,2005-04-25,0.0,52862.0,710229.0,1.0,3.0,4.0,4,นครราชสีมา                              
194,0.0,1974.0,2005-04-25,0.0,52862.0,710229.0,1.0,3.0,4.0,4,สมุทรสาคร                               
195,0.0,1975.0,2016-04-03,2.0,39566.0,1114855.0,2.0,2.0,4.0,1,สุราษฎร์ธานี                            
196,0.0,1981.0,2008-07-29,2.0,43325.0,1569139.0,2.0,2.0,5.0,9,
197,0.0,1970.0,2015-02-21,0.0,49893.0,500.0,2.0,4.0,4.0,9,ภูเก็ต                                  
198,0.0,1980.0,2011-11-03,1.0,44810.0,500.0,1.0,2.0,2.0,5,
199,0.0,1983.0,2011-05-15,0.0,44445.0,919954.0,1.0,1.0,5.0,7,
200,0.0,1983.0,2014-10-23,2.0,48563.0,500.0,2.0,3.0,3.0,1,
201,0.0,1974.0,2011-02-11,1.0,36040.0,500.0,2.0,2.0,1.0,11,ยโสธร                                   
201,0.0,1974.0,2011-02-11,1.0,36040.0,500.0,2.0,2.0,1.0,11,เพชรบูรณ์                               
202,0.0,1980.0,2011-03-03,0.0,40981.0,500.0,1.0,3.0,2.0,4,ภูเก็ต                                  
203,0.0,1983.0,2009-03-04,0.0,35458.0,500.0,1.0,1.0,5.0,4,ขอนแก่น                                 
203,0.0,1983.0,2009-03-04,0.0,35458.0,500.0,1.0,1.0,5.0,4,สุราษฎร์ธานี                            
204,0.0,1984.0,2014-06-13,0.0,49638.0,482230.0,1.0,4.0,5.0,9,นครพนม                                  
204,0.0,1984.0,2014-06-13,0.0,49638.0,482230.0,1.0,4.0,5.0,9,ปทุมธานี                                
204,0.0,1984.0,2014-06-13,0.0,49638.0,482230.0,1.0,4.0,5.0,9,อุดรธานี                                
205,0.0,1982.0,2013-02-28,0.0,43345.0,521186.0,2.0,2.0,6.0,9,บึงกาฬ                                  
206,0.0,1979.0,2009-09-13,0.0,41984.0,500.0,1.0,4.0,5.0,1,
207,0.0,1985.0,2012-02-17,0.0,52499.0,500.0,2.0,3.0,5.0,2,มุกดาหาร                                
208,0.0,1991.0,2013-02-11,0.0,44371.0,500.0,2.0,2.0,6.0,4,
209,0.0,1980.0,2010-04-23,0.0,46853.0,500.0,1.0,4.0,1.0,6,
210,0.0,1975.0,2009-04-22,0.0,39537.0,491085.0,2.0,1.0,2.0,12,
211,0.0,1971.0,2009-11-19,0.0,36743.0,500.0,1.0,1.0,6.0,4,
212,0.0,1987.0,2011-09-01,0.0,45929.0,500.0,1.0,3.0,5.0,11,นครปฐม                                  
213,0.0,1974.0,2007-01-02,2.0,48783.0,500.0,1.0,3.0,5.0,1,
214,0.0,1979.0,2007-02-11,1.0,43676.0,656138.0,1.0,4.0,5.0,12,นครพนม                                  
214,0.0,1979.0,2007-02-11,1.0,43676.0,656138.0,1.0,4.0,5.0,12,สุรินทร์                                
214,0.0,1979.0,2007-02-11,1.0,43676.0,656138.0,1.0,4.0,5.0,12,แม่ฮ่องสอน                              
215,0.0,1976.0,2008-11-15,1.0,44284.0,78008.0,2.0,4.0,3.0,2,
216,0.0,1986.0,2009-05-24,0.0,40643.0,838271.0,1.0,1.0,3.0,3,นนทบุรี                                 
217,0.0,1978.0,2013-01-06,0.0,41405.0,500.0,2.0,3.0,3.0,11,
218,0.0,1985.0,2010-06-04,0.0,31985.0,500.0,1.0,1.0,4.0,1,นนทบุรี                                 
218,0.0,1985.0,2010-06-04,0.0,31985.0,500.0,1.0,1.0,4.0,1,เชียงราย                                
219,0.0,1978.0,2011-04-07,0.0,39191.0,500.0,1.0,3.0,4.0,2,นครพนม                                  
219,0.0,1978.0,2011-04-07,0.0,39191.0,500.0,1.0,3.0,4.0,2,นนทบุรี                                 
220,0.0,1978.0,2014-10-28,1.0,44256.0,500.0,1.0,2.0,5.0,7,
221,0.0,1977.0,2010-03-29,1.0,46947.0,243368.0,1.0,1.0,1.0,7,
222,0.0,1976.0,2011-04-16,0.0,40281.0,500.0,2.0,1.0,3.0,7,มุกดาหาร                                
223,0.0,1982.0,2006-11-30,0.0,45984.0,500.0,1.0,1.0,3.0,2,สิงห์บุรี                               
223,0.0,1982.0,2006-11-30,0.0,45984.0,500.0,1.0,1.0,3.0,2,อุตรดิตถ์                               
224,0.0,1975.0,2009-12-17,0.0,38821.0,500.0,2.0,2.0,4.0,12,
225,0.0,1977.0,2011-03-08,2.0,34757.0,500.0,1.0,4.0,1.0,11,นครปฐม                                  
225,0.0,1977.0,2011-03-08,2.0,34757.0,500.0,1.0,4.0,1.0,11,สุราษฎร์ธานี                            
226,0.0,1981.0,2011-10-19,0.0,36094.0,1270089.0,1.0,2.0,6.0,12,เชียงราย                                
227,0.0,1972.0,2009-08-25,0.0,43200.0,26267.0,2.0,3.0,4.0,3,
